LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
push-button	Field	""			(867, 66)	(44, 35)
push-button	Symbol	""			(911, 66)	(44, 35)
toggle-button	Hyperlink	""			(963, 66)	(33, 35)
push-button	Footnote	""			(996, 66)	(33, 35)
push-button	Endnote	""			(1029, 66)	(33, 35)
push-button	Bookmark	""			(1062, 66)	(33, 35)
push-button	Cross-reference	""			(1095, 66)	(33, 35)
push-button	Comment	""			(1136, 66)	(33, 35)
toggle-button	Track Changes Functions	""			(1169, 66)	(33, 35)
push-button	Line	""			(1210, 66)	(33, 35)
push-button	Basic Shapes	""			(1243, 66)	(44, 35)
toggle-button	Draw Functions	""			(1287, 66)	(33, 35)
text		Normal (Web)			(74, 130)	(166, 34)
push-button	Update	""			(276, 105)	(33, 35)
push-button	New	""			(309, 105)	(33, 35)
text		Calibri			(350, 130)	(185, 34)
text		12 pt			(579, 130)	(65, 34)
toggle-button	Bold	""			(688, 105)	(33, 35)
toggle-button	Italic	""			(721, 105)	(33, 35)
push-button	Underline	""			(754, 105)	(44, 35)
toggle-button	Strikethrough	""			(798, 105)	(33, 35)
toggle-button	Superscript	""			(839, 105)	(33, 35)
toggle-button	Subscript	""			(872, 105)	(33, 35)
push-button	Clear	""			(913, 105)	(33, 35)
push-button	Font Color	""			(954, 105)	(44, 35)
push-button	Character Highlighting Color	""			(998, 105)	(44, 35)
toggle-button	Left	""			(1050, 105)	(33, 35)
toggle-button	Center	""			(1083, 105)	(33, 35)
toggle-button	Right	""			(1116, 105)	(33, 35)
toggle-button	Justified	""			(1149, 105)	(33, 35)
push-button	Unordered List	""			(1190, 105)	(44, 35)
push-button	Ordered List	""			(1234, 105)	(44, 35)
push-button	No List	""			(1278, 105)	(33, 35)
push-button	Increase	""			(1319, 105)	(33, 35)
push-button	Decrease	""			(1352, 105)	(33, 35)
push-button	Line Spacing	""			(1393, 105)	(44, 35)
push-button	Increase	""			(1437, 105)	(33, 35)
push-button	Decrease	""			(1470, 105)	(33, 35)
label		Page 1 of 1			(105, 1036)	(258, 18)
label		71 words, 424 characters			(369, 1036)	(342, 18)
label		Default Page Style			(717, 1036)	(306, 18)
label		English (USA)			(1029, 1036)	(276, 18)
label		173%			(1876, 1036)	(38, 18)
Generating content with GPT model: o4-mini
RESPONSE: I need to open the Paragraph dialog so I can define custom tab stops (one left-aligned at the start of the text and one right-aligned at the right margin). I'll use the Alt+O then P shortcut to open it.

```python
import pyautogui, time

# Open Format menu (Alt+O) and select Paragraph (P)
pyautogui.hotkey('alt', 'o'); time.sleep(0.5)
pyautogui.press('p')
```
